,Investigator,Number of Studies,Top Condition,Top Condition Count
521,angelo corsico,5,bronchiectasis adult,1.0
522,muhammad furqan,5,stage iiib lung cancer ajcc v8,2.0
523,gianluca giavaresi,5,osteoarthritis,1.0
524,monia lunghi,5,relapsed/refractory acute myeloid leukemia with flt3 activating mutations,1.0
525,stefania paolini,5,myelodysplastic syndromes,3.0
526,antonino musolino,5,metastatic breast cancer,2.0
527,rodolfo passalacqua,5,cancer,2.0
528,vamsi k. vasireddy,5,stage iiib lung cancer ajcc v8,2.0
529,guido bertolini,5,emergency departments,1.0
530,gilda cinnella,5,anesthesia,2.0
531,fei li,5,small lymphocytic lymphoma,3.0
532,rosanna vaschetto,5,poor grade subarachnoid hemorrhage,1.0
533,renato mantegazza,5,generalized myasthenia gravis,1.0
534,alessandra bearz,5,non small cell lung cancer,2.0
535,antonio febbraro,5,metastatic breast cancer,2.0
536,enrico baldi,5,out-of-hospital cardiac arrest,3.0
537,melania celli,5,follicular lymphoma,2.0
538,luigi padeletti,5,heart failure,4.0
539,mario nosotti,5,lung transplant rejection,2.0
540,camillo porta,5,oral stomatitis induced by everolimus treatment,1.0
541,davide donati,5,giant cell tumor of bone,1.0
542,ying cheng,5,neoplasm metastasis,1.0
543,rodryg ramlau,5,metastatic breast cancer,2.0
544,teresa gamucci,5,metastatic breast cancer,5.0
545,giuseppe valmadre,5,thoracic neoplasms,1.0
546,giovanni barisione,5,obliterative bronchiolitis,2.0
547,matthew d. cheney,5,stage iia anal cancer ajcc v8,1.0
548,hassan achakri,5,proximal humeral fracture,1.0
549,antonio di sabatino,5,ulcerative colitis,2.0
550,luigi corvaglia,5,preterm birth,2.0
551,flavio caprioli,5,ulcerative colitis,3.0
552,mauro biffi,5,heart failure,2.0
553,valeria sansone,5,spinal muscular atrophy,2.0
554,gualtiero palareti,5,pulmonary embolism,3.0
555,evelina tacconelli,5,covid19,2.0
556,alessandro vitale,5,hilar cholangiocarcinoma,1.0
557,anastasios stathis,5,marginal zone lymphoma,1.0
558,shachar peles,5,chronic lymphocytic leukemia,2.0
559,chiara rusconi,5,hodgkin lymphoma,1.0
560,sanjay popat,5,cancer,1.0
561,debra m. prow,5,estrogen receptor negative,1.0
562,bruno daniele,5,metastatic breast cancer,1.0
563,donald j. jurgens,5,stage iiia lung cancer ajcc v8,1.0
564,prassede salutari,5,acute myeloid leukemia,4.0
565,pietro palmisano,5,atrial fibrillation,2.0
566,alessandro de cassai,5,anesthesia,2.0
567,paolo marchetti,5,metastatic breast cancer,2.0
568,fable zustovich,5,pancreatic ductal adenocarcinoma,1.0
569,michele cavo,5,multiple myeloma,3.0
570,shaker r. dakhil,5,estrogen receptor negative,1.0
571,mario scartozzi,5,pancreas ductal adenocarcinoma,1.0
572,federica grosso,5,leiomyosarcoma,1.0
573,gioacchino calapai,5,cough,1.0
574,cristina papayannidis,5,t-lymphoblastic lymphoma,1.0
575,paolo pillastrini,5,low back pain,2.0
576,alessandro antonelli,5,thyroid neoplasms,1.0
577,paola roggero,5,gastrointestinal disease,1.0
578,alfredo berruti,5,adrenocortical carcinoma,3.0
579,alessandra borchiellini,5,itp secondary to infection,1.0
580,head of medical science,5,epp,2.0
581,pietro quaglino,5,brain metastases,1.0
582,marek trneny,5,small lymphocytic lymphoma,2.0
583,erminia massarelli,5,colon cancer,2.0
584,nicola battelli,5,ovarian cancer,1.0
585,emanuele ravano,5,dlbcl,1.0
586,julia chisholm,5,sarcoma,2.0
587,katarzyna wojcik,5,ulcerative colitis,4.0
588,roberto eleopra,5,parkinson disease,3.0
589,carla minoia,5,follicular lymphoma,2.0
590,bernadette brennan,5,sarcoma,2.0
591,lucky flores,5,ulcerative colitis,3.0
592,leonardo calò,5,ventricular tachycardias,1.0
593,corrado tarella,5,dlbcl,1.0
594,fabrizio stocchi,5,parkinson disease,2.0
595,gianluca lista,5,preterm birth,2.0
596,beata gawdis-wojnarska,5,ulcerative colitis,3.0
597,anna candoni,4,acute myeloid leukemia,2.0
598,anna sonia petronio,4,mitral valve regurgitation,1.0
599,jeffrey l. berenberg,4,alk gene translocation,1.0
600,pasquale niscola,4,myelodysplastic syndromes,2.0
601,giuseppe s sica,4,crohn disease,2.0
602,matteo simonelli,4,melanoma,2.0
603,seth benjamin forman,4,migraine,2.0
604,antonio musolino,4,metastatic breast cancer,2.0
605,andrea cortegiani,4,cardiac surgery,1.0
606,isabel blancas,4,early breast cancer,1.0
607,jin soo moon,4,crohn's disease (cd),1.0
608,ken takeuchi,4,ulcerative colitis,3.0
609,hector soto parra,4,mesotheliomas pleural,1.0
610,kavita kalidas,4,migraine,2.0
611,kazutaka shimizu,4,migraine,2.0
612,james e. radford,4,stage iib non-small cell lung carcinoma ajcc v7,1.0
613,giacomo g. baldi,4,solitary fibrous tumors,1.0
614,mitul gandhi,4,relapsed diffuse large b-cell lymphoma,1.0
615,lorenza rimassa,4,gene rearrangement,1.0
616,antonio d'onofrio,4,heart failure,2.0
617,david e. einspahr,4,alk positive,1.0
618,kelly nanette taylor,4,migraine,2.0
619,giancarlo bisagni,4,metastatic breast cancer,3.0
620,enrico vasile,4,pancreatic cancer,2.0
621,mario petrini,4,diffuse large b-cell lymphoma,1.0
622,sandro barni,4,metastatic breast cancer,1.0
623,filip baert,4,ulcerative colitis,2.0
624,rohtagi anshu,4,migraine,2.0
625,francesca mazzoni,4,non small cell lung cancer,2.0
626,xavier hebuterne,4,ulcerative colitis,3.0
627,andrea pace,4,breast cancer,1.0
628,jhanelle e. gray,4,stage iiib lung cancer ajcc v8,2.0
629,mariano provencio,4,kras p.g12c,1.0
630,renato fanin,4,hematological malignancies,1.0
631,alessandro cignetti,4,acute lymphoblastic leukemia,1.0
632,francesco pierelli,4,migraine disorders,2.0
633,jolita bekhof,4,migraine,2.0
634,andrea muratore,4,anastomotic leak,2.0
635,fausto catena,4,prevention of postoperative abdominal adhesions,1.0
636,anna lia molinari,4,multiple myeloma,1.0
637,sabina chiaretti,4,philadelphia-positive all,2.0
638,claudia castellino,4,follicular lymphoma,2.0
639,francesco leone,4,metastatic colorectal cancer,1.0
640,yoshihisa tatsuoka,4,migraine,2.0
641,vito fanelli,4,"ards, human",1.0
642,heather p. mcdowell,4,sarcoma,2.0
643,mark f. kozloff,4,stage iib lung cancer ajcc v8,1.0
644,maria di bartolomeo,4,stomach neoplasms,1.0
645,marina elena cazzaniga,4,metastatic breast cancer,2.0
646,filippo montemurro,4,metastatic breast cancer,2.0
647,haran burri,4,heart failure,2.0
648,francesco d'amico,4,liver diseases,2.0
649,philip e. lammers,4,stage iiib lung cancer ajcc v8,2.0
650,stefano gasparini,4,mediastinal lymphadenopathy,2.0
651,mark a. klein,4,stage iiib lung cancer ajcc v8,2.0
652,marc a. rovito,4,stage iia lung cancer ajcc v8,1.0
653,ilse hoffman,4,ulcerative colitis,1.0
654,giuseppe saglio,4,myeloproliferative disorders,1.0
655,paolo bonfanti,4,covid-19,1.0
656,stefano genovese,4,type 2 diabetes,2.0
657,giampaolo niccoli,4,myocardial infarction,1.0
658,corrado boni,4,metastatic breast cancer,2.0
659,benedicte brichard,4,child,1.0
660,david m. spector,4,stage iiia lung cancer ajcc v8,1.0
661,odette olivieri ramos,4,migraine,2.0
662,marta varga,4,ulcerative colitis,4.0
663,georg hess,4,peripheral t-cell lymphoma,1.0
664,eric c. mcgary,4,stage iiib lung cancer ajcc v8,2.0
665,vicente villanueva,4,dravet syndrome (ds),2.0
666,monika meglicka,4,crohn's disease,1.0
667,joseph reed moore,4,migraine,2.0
668,secondo lastoria,4,non-small cell lung cancer stage iiib,1.0
669,fabio vescini,4,"osteoporosis, postmenopausal",2.0
670,vittorio stefoni,4,lymphatic diseases,2.0
671,pierachille santus,4,hemoptysis,1.0
672,simone morselli,4,urothelial carcinoma,2.0
673,annalisa boscolo,4,ventilator-induced lung injury,2.0
674,anna maria liberati,4,chronic myeloid leukemia,1.0
675,roberto silingardi,4,aortic dissection,1.0
676,yujun dong,4,small lymphocytic lymphoma,3.0
677,jennifer m. suga,4,stage iiib lung cancer ajcc v8,2.0
678,jacques mansourati,4,ventricular tachycardia,1.0
679,fiorella ilariucci,4,"lymphoma, mantle-cell",1.0
680,mahmut gumus,4,urogenital neoplasms,1.0
681,muhammad salim,4,stage ib breast cancer,1.0
682,david y. lee,4,clinical stage iii hpv-mediated (p16-positive) oropharyngeal carcinoma ajcc v8,1.0
683,andrés jm ferreri,4,burkitt's lymphoma,1.0
684,gian paolo rossi,4,aldosteronism,2.0
685,luigia luciano,4,chronic myeloid leukemia,2.0
686,ciprian tomuleasa,4,myelofibrosis,2.0
687,curtis freedland,4,ulcerative colitis,2.0
688,monica fumagalli,4,premature birth,2.0
689,michael p. alexander,4,stage ib non-small cell lung carcinoma ajcc v7,1.0
690,laura bonanno,4,squamous-cell lung cancer,1.0
691,researcher giuseppa bilello,4,k07 - dentofacial anomalies [including malocclusion],4.0
692,norman wolmark,4,breast cancer,3.0
693,frederic newman,4,ulcerative colitis,3.0
694,marshall p. stagg,4,stage iia lung cancer ajcc v8,1.0
695,michael a. schwartz,4,stage iib breast cancer,1.0
696,barbara ensoli,4,hiv infection,2.0
697,francesco speziale,4,peripheral arterial disease,2.0
698,victor vargas,4,liver cirrhosis,1.0
699,francesco dentali,4,hospitalization,2.0
700,francesco sofi,4,obesity,1.0
701,patrizio vitulo,4,pulmonary arterial hypertension,3.0
702,jignesh shah,4,ulcerative colitis,3.0
703,charles s. kuzma,4,alk positive,1.0
704,sarug reyes morales,4,migraine,2.0
705,avril molina garcia,4,migraine,2.0
706,pierre feugier,4,follicular lymphoma,1.0
707,mauro campanini,4,prevention of venous thromboembolism,2.0
708,harry sarles,4,ulcerative colitis,3.0
709,aurelio seidita,4,"cirrhosis, liver",1.0
710,mattia morri,4,exercise,1.0
711,claudio bruno,4,spinal muscular atrophy,1.0
712,salvatore paiella,4,pancreatic ductal adenocarcinoma,1.0
713,junning cao,4,small lymphocytic lymphoma,2.0
714,clementina savastano,4,breast cancer,2.0
715,laszlo rejto,4,myelodysplastic syndromes,2.0
716,giacomo zanus,4,liver cirrhosis,1.0
717,agnes salamon,4,ulcerative colitis,4.0
718,marta gonzalez cordero,4,neoplasm metastasis,2.0
719,robert m. langdon,4,previously treated non-small cell lung cancer,1.0
720,alessandro padovani,4,parkinson's disease,2.0
721,julien grenier,4,her2-negative breast cancer,1.0
722,alex guevara,4,obesity,2.0
723,mauro gargiulo,4,infra renal aortic aneurysm,1.0
724,nicola vianelli,4,acute myeloid leukemia,1.0
725,francesco albano,4,flt3-tkd mutation,1.0
726,simone saibeni,4,ulcerative colitis,3.0
727,paolo barone,4,parkinson's disease,3.0
728,anne-sophie defachelles,4,neuroblastoma,1.0
729,eran goldin,4,ulcerative colitis,3.0
730,carlo lavalle,4,implantable cardiac defibrillator,1.0
731,luigi t corvaglia,4,gastroesophageal reflux,2.0
732,matteo lambertini,4,breast cancer,2.0
733,alexia bertuzzi,4,breast sarcoma,1.0
734,marcelo gama de abreu,4,postoperative respiratory complication,1.0
735,alessandro gozzetti,4,chronic lymphocytic leukemia,2.0
736,nandita jones,4,migraine,2.0
737,david dibenedetto,4,migraine,2.0
738,alberto bazzocchi,4,osteoarthritis,2.0
739,elena giovanna bignami,4,anesthesia,2.0
740,robin jones,4,ntrk family gene mutation,1.0
741,ileana elias,4,malignant melanoma,2.0
742,richard finkel,4,duchenne muscular dystrophy (dmd),1.0
743,anna merli,4,large-b-cell diffuse lymphoma,1.0
744,sonja heeren,4,ulcerative colitis,4.0
745,andrea minervini,4,perioperative complication,1.0
746,brian c. boulmay,4,stage iiib lung cancer ajcc v8,2.0
747,tiziana bove,4,septic shock,2.0
748,zsolt tulassay,4,ulcerative colitis,4.0
749,nashat gabrail,4,fgfr2 fusions,1.0
750,massimo offidani,4,multiple myeloma,3.0
751,nicolas cloarec,4,slfn11-positive,1.0
752,han phan,4,chronic migraine,1.0
753,licia grazzi,4,multiple sclerosis,1.0
754,giancarlo facchini,4,"embolization, therapeutic",1.0
755,scott e. delacroix,4,prostate adenocarcinoma,2.0
756,viralkumar bhanderi,4,small lymphocytic lymphoma,1.0
757,amanda psyrri,4,head and neck cancer,2.0
758,jeannie huang,4,ulcerative colitis,3.0
759,giampaolo merlini,4,amyloidosis,3.0
760,martin gutierrez,4,non-small cell lung cancer,1.0
761,francesco traina,4,dysplasia,2.0
762,peiman nazerian,4,acute chest pain,1.0
763,patrizia chiusolo,4,acute myeloid leukemia,1.0
764,iwona lugowska,4,cancer,2.0
765,giuseppe foti,4,"respiratory distress syndrome, adult",1.0
766,alessandra solari,4,multiple sclerosis (ms),3.0
767,jun li,4,nash - nonalcoholic steatohepatitis,1.0
768,alessandro ferrero,4,colorectal neoplasms malignant,2.0
769,andrea botticelli,4,breast cancer,2.0
770,gianluca garulli,4,anastomotic leak,2.0
771,lucio crinò,4,respiratory tract neoplasms,1.0
772,alberto papi,4,asthma,2.0
773,ziad younes,4,ulcerative colitis,3.0
774,esther oliva,4,myelodysplastic syndromes (mds),1.0
775,sara pusceddu,4,neuroendocrine tumors,2.0
776,alessio g. morganti,4,palliative care,3.0
777,robert klamroth,4,hemophilia a,3.0
778,guohui cui,4,chronic lymphocytic leukemia,3.0
779,paolo bidoli,4,respiratory tract diseases,1.0
780,leonardo de luca,4,acute coronary syndromes,1.0
781,eugenio mercuri,4,duchenne muscular dystrophy,2.0
782,giuseppe sanguineti,4,prostate cancer,3.0
783,riccardo bonadonna,4,hyperinsulinism,1.0
784,elisabetta munzone,4,breast cancer,2.0
785,robert koch,4,ulcerative colitis,4.0
786,charles shideman,4,prostate adenocarcinoma,2.0
787,stephen l. graziano,4,stage iiib lung cancer ajcc v8,3.0
788,rodica morariu-zamfir,4,graft-versus-host disease (gvhd),1.0
789,michela rondoni,4,myeloproliferative disorders,1.0
790,caterina mariotti,4,friedreich ataxia,2.0
791,francesca re,4,non hodgkin lymphoma,1.0
792,giuseppe giaccone,4,lung cancer,2.0
793,franz schaefer,4,chronic kidney disease,2.0
794,fabio mosca,4,innate immunity,2.0
795,keun seok lee,4,metastatic breast cancer,2.0
796,vinay k. gudena,4,stage iiia non-small cell lung cancer ajcc v7,1.0
797,enrico cortesi,4,metastatic breast cancer,1.0
798,luisa verga,4,covid-19,1.0
799,paolo ghia,4,chronic lymphocytic leukemia,4.0
800,christine bodemer,4,rare diseases,2.0
801,jonathan s. treisman,4,stage iiib lung cancer ajcc v8,2.0
802,martin andreas,4,mitral valve regurgitation,2.0
803,sumit sawhney,4,myelodysplastic syndromes,1.0
804,riccardo soffietti,4,bcr-fgfr1 fusion protein expression,1.0
805,won seog kim,4,small lymphocytic lymphoma,2.0
806,mara cananzi,4,vaccination,1.0
807,arcangelo prete,4,ewing,1.0
808,oriol roca,4,ards,2.0
809,ashok ramalingam,4,limited stage lung small cell carcinoma,1.0
810,marina chiara garassino,4,advanced lkb1-inactive lung adenocarcinoma,1.0
811,giuseppe sica,4,colon cancer,2.0
812,vinai gondi,4,limited stage small cell lung carcinoma,1.0
813,joseph kannarkatt,4,stage iiib lung cancer ajcc v8,2.0
814,simon deshayes,4,kras p.g12c,1.0
815,jorge paoli-bruno,4,migraine,2.0
816,carmen fava,4,chronic myeloid leukemia,3.0
817,giovanni palladini,4,al amyloidosis,3.0
818,marco zecca,4,diagnosed or relapsed/refractory sarcomas,1.0
819,paolo lionetti,4,chronic diarrhoea of infants and/or young children,1.0
820,rajeev kumar,4,huntington's disease,2.0
821,nitya alluri,4,stage iii oral cavity squamous cell carcinoma ajcc v6 and v7,1.0
822,triana lobaton ortega,4,ulcerative colitis,3.0
823,vittorio montefusco,4,multiple myeloma,3.0
824,shankara nellikunja,4,migraine,2.0
825,maria nachury,4,ulcerative colitis,2.0
826,lyudmila a. bazhenova,4,stage iiib lung cancer ajcc v8,2.0
827,gina jones,4,migraine,2.0
828,ronit gurion,4,small lymphocytic lymphoma,2.0
829,dimitrios mavroudis,4,neoplasm metastasis,2.0
830,roberto agresti,4,breast cancer,3.0
831,andrea zini,4,ischemic stroke,2.0
832,carlo buzio,4,kidney-pancreas transplantation,1.0
833,john c. mccann,4,stage iiib lung cancer ajcc v8,2.0
834,francesco saia,4,coronary artery disease,1.0
835,ching-tien peng,4,hemophilia a,2.0
836,alessia pellerino,4,cancer,1.0
837,nicolas van mieghem,4,symptomatic severe aortic stenosis,2.0
838,apar k. ganti,4,stage iiib lung cancer ajcc v8,2.0
839,marcy yonker,4,migraine,2.0
840,giuseppe boriani,4,heart failure,2.0
841,massimo costantini,4,covid-19 pneumonia,1.0
842,manuel lara lara,4,migraine,2.0
843,christophe leclercq,4,heart failure,2.0
844,eros di bona,4,acute lymphoid leukemia,1.0
845,luis paz-ares,4,non-small cell lung cancer,1.0
846,grant r. seeger,4,breast cancer,1.0
847,bruno fang,4,relapsed or refractory multiple myeloma,1.0
848,adam olson,4,prostate adenocarcinoma,2.0
849,daniele porru,4,painful bladder syndrome,2.0
850,domenico bilancia,4,fertility preservation,1.0
851,celeste cagnazzo,4,diagnosed or relapsed/refractory sarcomas,1.0
852,giuseppe palumbo,4,polycythemia vera,2.0
853,robert m. kyler,4,stage iia non-small cell lung carcinoma ajcc v7,1.0
854,fabio guarracino,4,respiratory complication,1.0
855,prafulla keshaorao shembalkar,4,migraine,2.0
856,paolo g. casali,4,gastrointestinal stromal tumor,2.0
857,mauro stronati,4,formula feeding of healthy full term infants,2.0
858,harriet b. eldredge-hindy,4,stage iv renal cell cancer ajcc v8,1.0
859,giuseppe lo russo,4,neoplasm metastasis,1.0
860,alessandro marchioni,4,acute respiratory failure,2.0
861,tommaso mauri,4,ards,1.0
862,orazio caffo,4,bronchial neoplasms,1.0
863,alessandro gronchi,4,leiomyosarcoma,1.0
864,hana safah,4,myelodysplastic syndromes,2.0
865,chad gonzales,4,ulcerative colitis,4.0
866,giovanni caocci,4,polycythemia vera,1.0
867,stefano francesco crinò,4,pancreatic neoplasm,2.0
868,mikolaj krzyzanowski,4,ulcerative colitis,3.0
869,john a. pablo,4,stage iiia lung cancer ajcc v8,1.0
870,jose antonio perez simon,4,ebv+ sarcomas,1.0
871,alessandro armuzzi,4,ulcerative colitis,4.0
872,ben kang,4,crohn's disease (cd),1.0
873,peter langmuir,4,advanced malignancies,1.0
874,olga benitez hidalgo,4,hemophilia a,3.0
875,fabricio racca,4,solid tumors,1.0
876,patrizia vici,4,malignant neoplasms,1.0
877,alessandra bandera,4,covid19,1.0
878,antonella poloni,4,anemia,1.0
879,alessandra mangia,4,chronic hepatitis,2.0
880,seth d. cohen,4,previously treated non-small cell lung cancer,1.0
881,matteo della porta,4,hematological malignancies,1.0
882,sarah herts,4,migraine,2.0
883,marco schiavone,4,implantable cardiac defibrillator,1.0
884,sofia baka,4,gastric neoplasms,1.0
885,a responsible person designated by the sponsor,4,neuroendocrine tumors,4.0
886,angelo michele carella,4,diffuse large cell lymphoma,1.0
887,belinda savage-edwards,4,migraine,2.0
888,enrico ferrazzi,4,low-lying,1.0
889,giuseppe montalto,4,dyslipidemia,1.0
890,monika ummat,4,migraine,2.0
891,sara pilotto,4,"carcinoma, non-small-cell lung",2.0
892,francesc bosch albareda,4,chronic lymphocytic leukemia,2.0
893,roberto rordorf,4,arrhythmic storm,1.0
894,alessandro m gianni,4,hodgkin lymphoma,2.0
895,catherine paillard,4,acute lymphoblastic leukaemia,1.0
896,sharoon qaiser,4,migraine,2.0
897,andreas reif,4,alzheimer's disease,1.0
898,maria enza mitra,4,acute myeloid leukemia,3.0
899,gaetano la manna,4,"liver failure, acute on chronic",1.0
900,daniele andreani,4,shoulder instability,1.0
901,diego ardissino,4,hemorrhage,1.0
902,jasmin dao,4,migraine,2.0
903,nafisa d. burhani,4,stage iiib lung cancer ajcc v8,2.0
904,ornella garrone,4,metastatic breast cancer,2.0
905,piero maria stefani,4,mantle cell lymphoma,2.0
906,antonino spinelli,4,colon cancer stage i,1.0
907,kevan jacobson,4,ulcerative colitis,1.0
908,luca moscetti,4,metastatic breast cancer,2.0
909,rajiv aggarwal,4,migraine,2.0
