,AHC,Sponsors/Collaborators,Number of Collaborations
608,Federico II,Centre hospitalier régional de la Citadelle,8
609,Federico II,AZ Maria Middelares,8
610,Federico II,Addenbrooke's Hospital,8
611,Federico II,Hospital São Lucas da PUCRS,8
612,Federico II,Guangdong Provincial People's Hospital,8
613,Federico II,Shanghai Jiao Tong University,8
614,Federico II,Hospital Sírio-Libanês,8
615,Federico II,University Malaya Medical Centre,8
616,Federico II,Arcispedale Santa Maria Nuova,8
617,Federico II,Ruijin Hospital,8
618,Federico II,Hospital South West Jutland,8
619,Federico II,Canberra Hospital,8
620,Federico II,Kobe City Medical Center General Hospital,8
621,Federico II,Swedish Medical Center,8
622,Federico II,Henry Ford Hospital,8
623,Federico II,Singapore General Hospital,8
624,Federico II,Rady Children's Hospital-San Diego,8
625,Federico II,Békés Megyei Központi Kórház,8
626,Federico II,University of Illinois at Chicago,8
627,Federico II,Royal Marsden Hospital,8
628,Federico II,Prisma Health,8
629,Federico II,Oncologia Medica,8
630,Federico II,Marmara University,8
631,Federico II,Hospital Universitario Fundación Alcorcón,8
632,Federico II,Evangelismos Hospital,8
633,Federico II,Krajská Zdravotní,8
634,Federico II,Centrum Medyczne Medyk,7
635,Federico II,Dana-Farber Cancer Institute,7
636,Federico II,Northern Hospital,7
637,Federico II,National Kyushu Medical Center,7
638,Federico II,Máxima Medisch Centrum,7
639,Federico II,Universitätsklinikum Gießen und Marburg,7
640,Federico II,Ospedale degli Infermi,7
641,Federico II,St. James's Hospital,7
642,Federico II,"University of California, Irvine Medical Center",7
643,Federico II,West Virginia University,7
644,Federico II,Athens Naval & Veterans Hospital,7
645,Federico II,Faculdade de Medicina do ABC,7
646,Federico II,Union Hospital,7
647,Federico II,MultiCare Health System,7
648,Federico II,Institut Català d'Oncologia,7
649,Federico II,The University of Texas Medical Branch at Galveston,7
650,Federico II,Kanazawa University Hospital,7
651,Federico II,Jewish General Hospital,7
652,Federico II,Florida Cancer Specialists & Research Institute,7
653,Federico II,North Shore Hospital,7
654,Federico II,Boston Medical Center,7
655,Federico II,Zhejiang Cancer Hospital,7
656,Federico II,Hôpital Européen Georges-Pompidou,7
657,Federico II,Texas Children's Hospital,7
658,Federico II,Institut Jules Bordet,7
659,Federico II,Stony Brook University Hospital,7
660,Federico II,University Hospital of Alexandroupolis,7
661,Federico II,Centro Hospitalar Lisboa Norte,7
662,Federico II,University Hospitals of Cleveland,7
663,Federico II,Erciyes University,7
664,Federico II,Universidade Federal de Goiás,7
665,Federico II,Southampton General Hospital,7
666,Federico II,Royal Children's Hospital,7
667,Federico II,Chungbuk National University Hospital,7
668,Federico II,Onze Lieve Vrouwziekenhuis Hospital,7
669,Federico II,University of South Alabama,7
670,Federico II,Chinese PLA General Hospital,7
671,Federico II,Georgetown University Medical Center,7
672,Federico II,University of Calgary,7
673,Federico II,Centre Hospitalier Universitaire de Québec,7
674,Federico II,University of Palermo,7
675,Federico II,University of Tennessee Medical Center,7
676,Federico II,Inje University Busan Paik Hospital,7
677,Federico II,National Cancer Institute,7
678,Federico II,NYU Langone Hospital - Long Island,7
679,Federico II,"Clinical Research Institute of Michigan, LLC",7
680,Federico II,Chung Shan Medical University Hospital,7
681,Federico II,Gaziantep University,7
682,Federico II,Landeskrankenhaus Salzburg,7
683,Federico II,Ljubljana University Medical Centre,7
684,Federico II,Clinical Emergency Hospital Bucharest,7
685,Federico II,Hôpital Robert-Debré,7
686,Federico II,Hospital Universitario Doctor Peset,7
687,Federico II,Stavanger University Hospital,7
688,Federico II,Hôpital Larrey,7
689,Federico II,"University of California, Davis",7
690,Federico II,TU Dresden,7
691,Federico II,King Faisal Specialist Hospital & Research Centre,7
692,Federico II,Zhejiang University,7
693,Federico II,Sarawak General Hospital,7
694,Federico II,Gelre Hospitals,7
695,Federico II,Instituto Nacional do Câncer,7
696,Federico II,Istituto Giannina Gaslini,7
697,Federico II,Macquarie University,7
698,Federico II,Cleveland Clinic Florida,7
699,Federico II,Serv. di Ematologia Ist. di Ematologia ed Endocrinologia,7
700,Federico II,University of Oslo,7
701,Federico II,NTT Medical Center,7
702,Federico II,Luzerner Kantonsspital,7
703,Federico II,Clinical Research Associates,7
704,Federico II,Third Xiangya Hospital,7
705,Federico II,Wake Forest University,7
706,Federico II,St James's University Hospital,7
707,Federico II,Norton Healthcare,7
708,Federico II,Chang Gung Memorial Hospital,7
709,Federico II,Fudan University Shanghai Cancer Center,7
710,Federico II,Fejér Megyei Szent György Egyetemi Oktató Kórház,7
711,Federico II,General Hospital of Ioannina G. Hatzikosta,7
712,Federico II,Centro Hospitalar do Porto,7
713,Federico II,Medisch Centrum Leeuwarden,7
714,Federico II,Centre Hospitalier Universitaire de Tours,7
715,Federico II,Ewha Womans University Medical Center,7
716,Federico II,Freeman Hospital,7
717,Federico II,Tokyo Women's Medical University Hospital,7
718,Federico II,Clinica Ematologica - Policlinico Universitario,7
719,Federico II,University Hospital Würzburg,7
720,Federico II,Meander Medisch Centrum,7
721,Federico II,Institute of Oncology Prof. Dr. Ion Chiricuta,7
722,Federico II,Sheng Jing Hospital,7
723,Federico II,Hospital Garcia de Orta,7
724,Federico II,Royal London Hospital,7
725,Federico II,Queen Elizabeth II Health Sciences Centre,7
726,Federico II,Capital Medical University,7
727,Federico II,National Hospital Organization,7
728,Federico II,Trakya University,7
729,Federico II,Ruby Hall Clinic,7
730,Federico II,Albert Schweitzer Ziekenhuis,7
731,Federico II,Parc de Salut,7
732,Federico II,Hôpital Saint-Éloi,7
733,Federico II,Bristol-Myers Squibb (United States),7
734,Federico II,Johannes Gutenberg University of Mainz,7
735,Federico II,The Ohio State University Wexner Medical Center,7
736,Federico II,Fundación Instituto Valenciano de Oncología,6
737,Federico II,Saiseikai Kumamoto Hospital,6
738,Federico II,King Chulalongkorn Memorial Hospital,6
739,Federico II,Somogy Megyei Kaposi Mór Oktató Kórház,6
740,Federico II,Donostia Unibertsitate Ospitalea,6
741,Federico II,St. Vincent's University Hospital,6
742,Federico II,Newcastle University,6
743,Federico II,Deventer Ziekenhuis,6
744,Federico II,Hanyang University Guri Hospital,6
745,Federico II,Children's Hospital of Los Angeles,6
746,Federico II,Kuopio University Hospital,6
747,Federico II,Centro Hospitalar do Baixo Vouga,6
748,Federico II,Jinan Central Hospital,6
749,Federico II,Institut Bergonié,6
750,Federico II,Klinička bolnica Merkur,6
751,Federico II,Groene Hart Ziekenhuis,6
752,Federico II,Duke University,6
753,Federico II,Policlinico Universitario di Catania,6
754,Federico II,University of Lisbon,6
755,Federico II,Ajou University Hospital,6
756,Federico II,Phoenix College,6
757,Federico II,Fondazione Poliambulanza Istituto Ospedaliero,6
758,Federico II,Centre Hospitalier de la Côte Basque,6
759,Federico II,University Hospitals Bristol NHS Foundation Trust,6
760,Federico II,Imperial College Healthcare NHS Trust,6
761,Federico II,National Hospital Organization Kyushu Cancer Center,6
762,Federico II,University of Mississippi Medical Center,6
763,Federico II,Toronto General Hospital,6
764,Federico II,Spaarne Ziekenhuis,6
765,Federico II,Keio University Hospital,6
766,Federico II,University Hospital Coventry,6
767,Federico II,St Mary's Hospital,6
768,Federico II,Royal Marsden NHS Foundation Trust,6
769,Federico II,Gastro One (United States),6
770,Federico II,Children's Memorial Health Institute,6
771,Federico II,University of Florence,6
772,Federico II,Gastroenterology Associates Of Western Michigan,6
773,Federico II,St. Joseph's Hospital and Medical Center,6
774,Federico II,University of Chieti-Pescara,6
775,Federico II,University Hospital Innsbruck,6
776,Federico II,Royal Victoria Hospital,6
777,Federico II,São Paulo State University,6
778,Federico II,Policlinico G.B. Rossi,6
779,Federico II,University of Maryland Medical Center,6
780,Federico II,Osaka International Cancer Institute,6
781,Federico II,Novosibirsk State Medical University,6
782,Federico II,Whipps Cross University Hospital,6
783,Federico II,Linköping University Hospital,6
784,Federico II,Bicêtre Hospital,6
785,Federico II,Hôpital Édouard-Herriot,6
786,Federico II,Kepler Universitätsklinikum,6
787,Federico II,Jacobi Medical Center,6
788,Federico II,Ferrarotto Hospital,6
789,Federico II,Hospital Universitario Austral,6
790,Federico II,University Hospital Southampton NHS Foundation Trust,6
791,Federico II,Fundação Universitária de Cardiologia,6
792,Federico II,Mercy Medical Center,6
793,Federico II,"Clinical Trials of America, LLC",6
794,Federico II,Sun Yat-sen Memorial Hospital,6
795,Federico II,"Budgetary Health Care Institution of the Omsk Region ""Clinical Oncology Center""",6
796,Federico II,Texas Digestive Disease Consultants,6
797,Federico II,Nottingham University Hospitals NHS Trust,6
798,Federico II,Ninewells Hospital,6
799,Federico II,LexMedica Osrodek Badan Klinicznych,6
800,Federico II,Wuhan Union Hospital,6
801,Federico II,St. Paul's Hospital,6
802,Federico II,Hôpital Charles-Nicolle,6
803,Federico II,National Institute of Oncology,6
804,Federico II,Hôpitaux Universitaires de Strasbourg,6
805,Federico II,Heartlands Hospital,6
806,Federico II,Hospital Alemão Oswaldo Cruz,6
807,Federico II,Mie University Hospital,6
808,Federico II,Kantonsspital Aarau,6
809,Federico II,Ospedale S.Gennaro,6
810,Federico II,Tianjin Medical University Cancer Institute and Hospital,6
811,Federico II,Zealand University Hospital Roskilde,6
812,Federico II,Asheville Cardiology Associates,6
813,Federico II,Kliniken Essen-Mitte,6
814,Federico II,Euromedica,6
815,Federico II,Raigmore Hospital,6
816,Federico II,University Hospital of Wales,6
817,Federico II,Janssen (United States),6
818,Federico II,Hôpital l'Archet,6
819,Federico II,ASST Fatebenefratelli Sacco,6
820,Federico II,King's College Hospital NHS Foundation Trust,6
821,Federico II,Queen Elizabeth Hospital Birmingham,6
822,Federico II,Tokyo Medical and Dental University,6
823,Federico II,Eskişehir Osmangazi University,6
824,Federico II,Hospital Universitario de Getafe,6
825,Federico II,Calvary Mater Newcastle Hospital,6
826,Federico II,Athens Medical Center,6
827,Federico II,Sunnybrook Health Science Centre,6
828,Federico II,Oulu University Hospital,6
829,Federico II,Instituto Médico DAMIC,6
830,Federico II,First Hospital of Jilin University,6
831,Federico II,Riley Hospital for Children,6
832,Federico II,Hospital de León,6
833,Federico II,Spitalul Clinic Judetean de Urgenta Târgu Mureş,6
834,Federico II,Instituto Cardiovascular de Buenos Aires,6
835,Federico II,Columbus Regional Healthcare System,6
836,Federico II,National Center for Global Health and Medicine,6
837,Federico II,Azienda Ospedaliera Universitaria Università degli Studi della Campania Luigi Vanvitelli,6
838,Federico II,Tianjin Medical University General Hospital,6
839,Federico II,Institut Universitaire de Cardiologie et de Pneumologie de Québec,6
840,Federico II,Universitätsaugenklinik Magdeburg,6
841,Federico II,University of Chicago,6
842,Federico II,Hospital de Sant Joan Despí Moisès Broggi,6
843,Federico II,University of Wisconsin Hospital and Clinics,6
844,Federico II,National Cancer Center Hospital East,6
845,Federico II,Yale New Haven Hospital,6
846,Federico II,Orlando Health,6
847,Federico II,Albert B. Chandler Hospital,6
848,Federico II,Albany Medical Center Hospital,6
849,Federico II,Great Ormond Street Hospital,6
850,Federico II,Başkent University,6
851,Federico II,Inova Fairfax Hospital,6
852,Federico II,Centre Hospitalier Chrétien,6
853,Federico II,Miyazaki Medical Association Hospital,6
854,Federico II,EUGASTRO GmbH,6
855,Federico II,Tri-Service General Hospital,6
856,Federico II,Cambridge University Hospitals NHS Foundation Trust,6
857,Federico II,Austin Hospital,6
858,Federico II,American Heart of Poland Spolka Akcyjna,6
859,Federico II,ZNA Middelheim Hospital,6
860,Federico II,"Rutgers, The State University of New Jersey",6
861,Federico II,Centre Hospitalier Universitaire de Rouen,6
862,Federico II,University of Utah Hospital,6
863,Federico II,Biogen (United States),6
864,Federico II,Goethe University Frankfurt,6
865,Federico II,Huazhong University of Science and Technology,6
866,Federico II,Instituto Nacional de Cardiología,6
867,Federico II,Hospital for Sick Children,6
868,Federico II,American Heart of Poland,6
869,Federico II,Istituto Neurologico Carlo Besta,6
870,Federico II,Národný Onkologický Ústav,6
871,Federico II,Arizona Digestive Health,6
872,Federico II,North Shore Hematology Oncology Assoc. P.C. DBA NY Cancer and Blood Specialists,6
873,Federico II,Peter MacCallum Cancer Centre,6
874,Federico II,Mayo Clinic Hospital,6
875,Federico II,Hospital de Santo António,5
876,Federico II,Renmin Hospital of Wuhan University,5
877,Federico II,St. Josef-Hospital,5
878,Federico II,Instituto do Câncer do Estado de São Paulo,5
879,Federico II,National Cancer Centre Singapore,5
880,Federico II,Hospital Clínico Universitario Lozano Blesa,5
881,Federico II,Foscal Hospital,5
882,Federico II,Meridien Research,5
883,Federico II,University of Pisa,5
884,Federico II,GI Research Institute,5
885,Federico II,"East Coast Institute for Research, LLC",5
886,Federico II,Penn Presbyterian Medical Center,5
887,Federico II,Kaohsiung Veterans General Hospital,5
888,Federico II,Ospedale San Giuseppe,5
889,Federico II,Mater Misericordiae University Hospital,5
890,Federico II,Magyar Honvedseg Egeszsegugyi Kozpont,5
891,Federico II,National Cancer Centre,5
892,Federico II,Baptist Health South Florida,5
893,Federico II,Clinique Saint Pierre,5
894,Federico II,Complejo Hospitalario de Pontevedra,5
895,Federico II,Siriraj Hospital,5
896,Federico II,Pannonia Maganorvosi Centrum,5
897,Federico II,Hospital Británico de Buenos Aires,5
898,Federico II,Children's Hospital at Westmead,5
899,Federico II,Ulsan University Hospital,5
900,Federico II,Acibadem Fulya Hospital,5
901,Federico II,DRK Kliniken Berlin,5
902,Federico II,Renstar Medical Research,5
903,Federico II,Northwest Heart Clinical Research,5
904,Federico II,Centro Hospitalar de Lisboa Central,5
905,Federico II,Second Affiliated Hospital of Nanjing Medical University,5
906,Federico II,Morriston Hospital,5
907,Federico II,Sint Franciscus Gasthuis,5
