,Investigator,Number of Studies
14807,eva csajbok,1
14808,jamie e. mckenzie,1
14809,vicente caranyana ballerini,1
14810,nuria r entrena,1
14811,peter dziewulski,1
14812,sheri spunt,1
14813,alex blackmore,1
14814,catalina cleary,1
14815,richard corbett,1
14816,edi prandi,1
14817,francesco ardito,1
14818,sabrina paci,1
14819,vera hupertz,1
14820,tanguy ronan,1
14821,marion castel,1
14822,eike simon,1
14823,guillermo lazo-diaz,1
14824,gonzalo de luna cardenal,1
14825,andrew perkins,1
14826,andrea caglià,1
14827,yun-jong lee,1
14828,rachel cook,1
14829,roy beinart,1
14830,orkwiszewska-nalewajko anna,1
14831,alessio taddei,1
14832,martin andrassy,1
14833,claudia zigrino,1
14834,marta carta,1
14835,david chan,1
14836,joost daemen,1
14837,edoardo picetti,1
14838,leonid shunyakov,1
14839,anna maria dittrich,1
14840,courtney radakovitz,1
14841,giacomo pelizzari,1
14842,olivier fabre,1
14843,alessandro,1
14844,desborough,1
14845,luciana carla aquino pimentel,1
14846,fernando domínguez,1
14847,arinilda campos bragagnoli,1
14848,kangbuk s hospital,1
14849,dulabh k. monga,1
14850,salvatore grosso,1
14851,roberta priori,1
14852,ayala-paredes,1
14853,horak,1
14854,piltz,1
14855,jose paulo monteiro,1
14856,bila,1
14857,jaime torres,1
14858,maria fernanda alzogaray,1
14859,shih-lung cheng,1
14860,frédérique legenne,1
14861,ortega,1
14862,jean philippe azulay,1
14863,caterina oneto-arraya,1
14864,marcos girala,1
14865,vladimir matoussevitch,1
14866,danuta owczarek,1
14867,dimitrios tryfonopoulos,1
14868,victoria kuohung,1
14869,luis horacio aguilar espinoza,1
14870,joseph john,1
14871,carlos lozada,1
14872,genge partners,1
14873,farhad bakthiary,1
14874,iva blajic,1
14875,yannick liermann,1
14876,francesca mantovani,1
14877,gen lin,1
14878,laura velutti,1
14879,giovanni peretto,1
14880,bartnicka-maslowska,1
14881,ignacio cruz,1
14882,karima ben belkacem,1
14883,federico nicchetti,1
14884,unifai study,1
14885,cr stabile-barnett,1
14886,e.m. noordijk,1
14887,anatoli golenkov,1
14888,marion thomas,1
14889,frank ruschitzka,1
14890,hans pruijt,1
14891,alessia pappone,1
14892,franco de cian,1
14893,vito marco vm ranieri,1
14894,wolfgang kruis,1
14895,helena cardoso,1
14896,christopher taylor,1
14897,maha abdel hadi,1
14898,carina mihai,1
14899,george harb,1
14900,daniel dg gras,1
14901,maurizio lunati,1
14902,francisco rivera civico,1
14903,mireia roca,1
14904,alberto rivera gallego,1
14905,mustafa kondakci,1
14906,mitchell m levy,1
14907,yadira alfonso,1
14908,liza peikrishvili,1
14909,sylvie cloarec,1
14910,justyna wojtera,1
14911,tricia leavens,1
14912,pierre-emmanuel colombo,1
14913,gaetano di rienzo,1
14914,mosna,1
14915,bahri akdeniz,1
14916,mitzi near,1
14917,samantha womack,1
14918,sonia lopez rodriguez,1
14919,sigurd knaub,1
14920,amedeo altamura,1
14921,murat a. anamur,1
14922,leïla idrissi kaïtouni,1
14923,can balkan,1
14924,judit kocsis,1
14925,ângela timoteo,1
14926,thiagarajan,1
14927,david e. piccioni,1
14928,rosa di mussi,1
14929,shin-yuan chen,1
14930,emilie repetto,1
14931,elisabeth weiss,1
14932,anna aliberti,1
14933,qinghau zhang,1
14934,andrea maresca,1
14935,david mazer,1
14936,madeleine aumar,1
14937,giampietro semenzato,1
14938,andrea moscatelli,1
14939,joseph maly,1
14940,juan carlos hernández boluda,1
14941,arturo montineri,1
14942,sophie testa,1
14943,pietro coletta,1
14944,a rom kim,1
14945,labion laboratory,1
14946,josé juan ponce lorenzo,1
14947,marcy sullivan,1
14948,romain basmaci,1
14949,tadaaki inano,1
14950,enrico baria,1
14951,riccardo cicchi,1
14952,mordechai slae,1
14953,patricio tate,1
14954,shin-seok lee,1
14955,sunil nayak,1
14956,thilo noack,1
14957,emmanuel forestier,1
14958,giulia dal molin,1
14959,ibrahim hanouneh,1
14960,philippe jamme,1
14961,luca lp persani,1
14962,vincenzo motesarchio,1
14963,micheke torella,1
14964,rafał walczak,1
14965,simone zerbi,1
14966,abhishek a. solanki,1
14967,andre a. konski,1
14968,hadar jenin,1
14969,janusz tomaszewski,1
14970,olga rakhmanina,1
14971,fiorella migliaro,1
14972,gocheva,1
14973,medifarma- kft,1
14974,irene simonetta,1
14975,revelo castro,1
14976,paul ross,1
14977,fernando rivera herrero sr,1
14978,munci yağcı,1
14979,benjamin bondue,1
14980,ernest sala llinas,1
14981,james lynam,1
14982,alexander guminski,1
14983,daniele prati,1
14984,kerry gilroy,1
14985,dana price,1
14986,willem lybaert,1
14987,rakhi maiwall,1
14988,pavel p kotoucek,1
14989,mark t. leibowitz,1
14990,helen moon,1
14991,christopher michael gallagher,1
14992,takafumi sangai,1
14993,ozgur tanriverdi,1
14994,sarah hughes,1
14995,robert busch,1
14996,ashleigh avecilla,1
14997,kangsheng gu,1
14998,sinead cuffe,1
14999,francesc balaguer prunès,1
15000,sowon park,1
15001,cedric hermans,1
15002,michael t. ledet,1
15003,arnaldo victor orellana-molina,1
15004,lloyd stegemann,1
15005,angelo vacca,1
15006,edgar dippel,1
15007,david adam,1
15008,natalie fadle,1
15009,laura arletti,1
15010,mathieu meunier,1
15011,joana dias,1
15012,noman ashraf,1
15013,romualdo barroso de sousa,1
15014,denise ruaro,1
15015,craig w. ritchie,1
15016,giuseppe didato,1
15017,daniel von hoff,1
15018,sonia gonzales,1
15019,penny bradbury,1
15020,ettore volpe,1
15021,m.cristina jori,1
15022,felix mahfoud,1
15023,emilio bajetta,1
15024,pedro c lara,1
15025,andrea spano,1
15026,christopher prendergast,1
15027,massimo bazzocchi,1
15028,bontempi marco,1
15029,cristina tassorelli,1
15030,javier escaned,1
15031,kathrin scheckenbach,1
15032,frank priou,1
15033,bernd spriewald,1
15034,christian pallasch,1
15035,matteo basetti,1
15036,saiama waqar,1
15037,anita mahajan,1
15038,kirsten staiger,1
15039,pier giorgio masci,1
15040,blanca navarro rodrigo,1
15041,corinne vigouroux,1
15042,bengü balkan,1
15043,christine mauz-körholz,1
15044,giovanna dasilva,1
15045,biole carloalberto,1
15046,andrea tubaro,1
15047,esaú fernández pascual,1
15048,badi el osta,1
15049,jose manuel trigo perez,1
15050,ebany martinez-finley,1
15051,paolo cavoretto,1
15052,graziella marano,1
15053,alessia s tieghi,1
15054,giuseppe u pietrantuono,1
15055,dlawer barzenje,1
15056,maria sandin,1
15057,federico perfetto,1
15058,ann fieuw,1
15059,robert johnston,1
15060,david lewis,1
15061,paolo g camici,1
15062,noa lavi,1
15063,blanca xicoy,1
15064,francisca hernandez mohedo,1
15065,jennifer sletten,1
15066,ximo duarte,1
15067,josefine palle,1
15068,stefanie kreuzer,1
15069,jose garcia gutierrez,1
15070,ryan gaible,1
15071,guangming li,1
15072,delia d'avola,1
15073,catherine s. hwang,1
15074,tuomas rissanen,1
15075,stephanie bordenave,1
15076,gary schwartz,1
15077,sylvère guillemois,1
15078,bernhard unsoeld,1
15079,jean-philippe spano,1
15080,justine retailleau,1
15081,darren carpizo,1
15082,paolo sassu,1
15083,roberto stefini,1
15084,nataniel h. lester-coll,1
15085,julia schneider,1
15086,meena okera,1
15087,su pin choo,1
15088,douglas a. nelson,1
15089,marilena savoia,1
15090,yao,1
15091,gregoire prevot,1
15092,gergis,1
15093,fergus jack,1
15094,mitchell schain,1
15095,daniel c. rausch,1
15096,zanni manuela,1
15097,charles b. bernick,1
15098,sreesravya betha,1
15099,maarit venermo,1
15100,roxana-ioana scheusan,1
15101,javier serrano,1
15102,ramit magen rimon,1
15103,yu guo,1
15104,christofer buatti,1
15105,dhiman basu,1
15106,francisco m bautista,1
15107,david david shu,1
15108,wolfgang alfred jungmair,1
15109,boris raska,1
15110,helen toledano,1
15111,tomas ripoll,1
15112,francisco-jose lopez-jaime,1
15113,brian gastman,1
15114,timothy craig,1
15115,ciarleglio francesco,1
15116,giovanni benfari,1
15117,jan gregar,1
15118,daniel becker,1
15119,hasibul h. khan,1
15120,john fiadjoe,1
15121,adele de masson,1
15122,nachbaue nachbauer,1
15123,marcello maddalone,1
15124,george zogopoulos,1
15125,lawrence d sher,1
15126,tommaso d'angelo,1
15127,francesco tonelli,1
15128,alberto donfrancesco,1
15129,tiscione vitagliano,1
15130,laurence claes,1
15131,georeg-marios makris,1
15132,bianca masturzo,1
15133,jacopo peccatori,1
15134,barbara giovanni,1
15135,deborah parfett,1
15136,consolación rayon,1
15137,alexandre abizaid,1
15138,eyal talor,1
15139,javier pérez gisbert,1
15140,zach lamson,1
15141,diana ban,1
15142,from - kashiwa,1
15143,piotr ponikowski,1
15144,nayana dekhne,1
15145,jimmy j. caudell,1
15146,savaş kansoy,1
15147,martina del maestro,1
15148,pierpaolo accolla,1
15149,peter fail,1
15150,aron p lazary,1
15151,carmen fernández capitán,1
15152,beatrice fervers,1
15153,serena rossi,1
15154,peter p varga,1
15155,gianpietro farronato,1
15156,simone molinari,1
15157,jose braga,1
15158,soo yeun park,1
15159,tobias besher,1
15160,oleksiy gridnyev,1
15161,sandra coslet,1
15162,gal goldstein,1
15163,david kramer,1
15164,eun kyung cho,1
15165,wei-li ma,1
15166,mark faries,1
15167,robert whitfield,1
15168,marcus j. schultz,1
15169,michael atkins,1
15170,piotr serwatowski,1
15171,karin franck-larsson,1
15172,bernd kallmuenzer,1
15173,sandeep ankolekar,1
15174,tim von oertzen,1
15175,franz-georg bauernfeind,1
15176,dominic benevento,1
15177,claudio sini,1
15178,fredrik ellin,1
15179,francesco perii,1
15180,tomomi hagi,1
15181,linda lowes,1
15182,gaetano bergamaschi,1
15183,federica pallavicini,1
15184,hugh bishop,1
15185,paolo pozzilli,1
15186,liu hui,1
15187,claire hopkins,1
15188,alexis bocquet,1
15189,carlo ratto,1
15190,pilar trueba,1
15191,soto efrain,1
15192,yang ding,1
15193,paul b. fowler,1
15194,dong-xin wang,1
15195,raymundo ocaranza sánchez,1
15196,adeline cuggia,1
15197,hersh,1
15198,dario bertossi,1
15199,adnan elhammali,1
15200,katarina rønning hagen,1
15201,alexandru barboi,1
15202,caroline van de heyning,1
15203,entela bollano,1
15204,fabio franke,1
15205,alok singh,1
15206,ivanov,1
15207,xiangyu meng,1
15208,lauren higgins,1
15209,cristina freuler,1
15210,antoine froidure,1
15211,yu-feng wei,1
15212,sylka rodovalho,1
15213,giuliano tocci,1
15214,noelia oblanca,1
15215,david butler,1
15216,bradley a. switzer,1
15217,hiroji uemura,1
15218,farah hassan,1
15219,martin austermann,1
15220,stacey wolfe,1
15221,marcela simonis ferrari,1
15222,thomas chalopin,1
15223,bjorn falkenburger,1
15224,juri balestrini,1
15225,ernesto ruiz duque,1
15226,nicolas combaret,1
15227,maria podola-dawidziak,1
15228,izabela domyslawska,1
15229,marta corona,1
15230,clement gourguechon,1
15231,marie-eve pinet,1
15232,umberto romeo,1
15233,matilde pensabene,1
15234,anna n polito,1
15235,antonio mendes,1
15236,christelle de la fouchardière,1
15237,jose vazquez,1
15238,barbro kristina linderholm,1
15239,ermanno ancona,1
15240,michael g. haddock,1
15241,pierluigi brustenghi,1
15242,aysin bakkaloglu,1
15243,andrew thomas,1
15244,fabrizio cavalloro,1
15245,alberto pasetto,1
15246,maria messina,1
15247,josé luis lópez-sendón moreno,1
15248,mauro mm moroni,1
15249,m. ángeles vaz,1
15250,david schneider,1
15251,anitha s. nallari,1
15252,niki stavroyianni,1
15253,saundra s. buys,1
15254,michael p. thirlwell,1
15255,berit lange,1
15256,alicia quirós,1
15257,jesus miranda poma,1
15258,marios decatris,1
15259,markos marangos,1
15260,paolo a. grossi,1
15261,silvia arevalo,1
15262,simone ruggeri,1
15263,peter kienle,1
15264,alana carter,1
15265,antonio mastroianni,1
15266,tristan gauthier,1
15267,gianluca del conte,1
15268,alessia surgo,1
15269,angela lin,1
15270,le chu su,1
15271,andrea chiampan,1
15272,john fitzgerald eelke feenstra,1
15273,mark cornfeld,1
15274,miguel pipaon,1
15275,nunzio filardi,1
15276,ian byard,1
15277,jonathan e. dowell,1
15278,neelam thukral,1
15279,alfonso avolio,1
15280,william c. taylor,1
15281,christina s. baik,1
15282,preston steen,1
15283,nessim carolyn,1
15284,mark albertini,1
15285,tamar peretz yablonski,1
15286,marcello maestri,1
15287,stefania brancati,1
15288,dianne kruger-sargent,1
15289,giovanni pomponio,1
15290,alessandro severino,1
15291,adebowale adeyemi,1
15292,ilia bresesti,1
15293,irit avivi,1
15294,jana prausova,1
15295,paolo fonio,1
15296,marta de piccoli,1
15297,jessica hassel,1
15298,giorgio peretti,1
15299,hye jin park,1
15300,bernd christensen,1
15301,abhishek chauhab,1
15302,antonella occhi,1
15303,rebecca kummer lehman,1
15304,neal shore,1
15305,marina servitzoglou,1
15306,dok hyun yoon,1
15307,keita kirito,1
15308,maria arancha bermudez,1
15309,risa ueno,1
15310,francesca granucci,1
15311,paola pinnaro,1
15312,steven allen,1
15313,david wood,1
15314,marcelo kugelmas,1
15315,elio alberto cruz martinez,1
15316,peter o'kane,1
15317,victor moreno garcia,1
15318,frédéric huet,1
15319,rené chapot,1
15320,lasika seneviratne,1
15321,heather lawther,1
15322,chen shou-tung,1
15323,sandra d. algaze,1
15324,fukuda,1
15325,shimrit uliel-syboni,1
15326,sheron perera,1
15327,caterina vivaldi,1
15328,john blamoun,1
15329,carolina rojas,1
15330,yaqian han,1
15331,rami el shafie,1
15332,urszula ołdakowska-jedynak,1
15333,amanda nolte,1
15334,shaji sebastian,1
15335,giorgio pomara,1
15336,medical medical affairs,1
15337,john heath,1
15338,alberto mattalia,1
15339,giulia berzero,1
15340,xuemei zhang,1
15341,joão massano,1
15342,maria krini,1
15343,elena fountzila,1
15344,yanchao liang,1
15345,álvaro cabrera garciá,1
15346,david barqueti jendiroba,1
15347,pal barzo,1
15348,p dreger,1
15349,michele yang,1
15350,elke wühl,1
15351,mario regazzi,1
15352,andré tichelli,1
15353,maría ramos,1
15354,charles love,1
15355,carlo castoro,1
15356,alessandra cupri,1
15357,danila caruso,1
15358,michael luebbert,1
15359,marco bregni,1
15360,stefania montemezzi,1
15361,gian luca erre,1
15362,anna rosati,1
15363,richard t. zera,1
15364,mary a. voltz,1
15365,luana calabro,1
15366,peter verhamme,1
15367,emmanouil papadakis,1
15368,covadonga garcía díaz,1
15369,alison johnson,1
15370,aristoteles giagounidis,1
15371,jonathan rosenblatt,1
15372,eugenio borsatti,1
15373,halina cichoz-lach,1
15374,krzysztof niezgoda,1
15375,sonja bartolome,1
15376,conrad simpfendorfer,1
15377,salvatore gruttadauria,1
15378,nagla abdel karim,1
15379,tawnya bowles,1
15380,emily baxter,1
15381,bruscino-raiola frank,1
15382,miriam l hoven-gondrie,1
15383,gerda kuijper,1
15384,viola zhu,1
15385,david rizik,1
15386,marie troya saborido,1
15387,francesco balducci,1
15388,christine duran,1
15389,ashleigh burroughs,1
15390,ricardo rocamora,1
15391,vassilios papadakis,1
15392,kurt huber,1
15393,hans hagberg,1
15394,gian piero turchi,1
15395,ortez gonzalez,1
15396,norbert galldiks,1
15397,dan leibovici,1
15398,jordi remon,1
15399,timothy devos,1
15400,alberto alvarez,1
15401,alexander potapov,1
15402,andrea cozzolino,1
15403,sylvie derycke,1
15404,maher hadaki,1
15405,william kelly bowman,1
15406,conar fitton,1
15407,johanna hollweg,1
15408,guillaume cayla,1
15409,seth pollack,1
15410,matilde ingrosso,1
15411,maria yow,1
15412,hermine agis,1
15413,mark schiebler,1
15414,omer dzemali,1
15415,jieping li,1
15416,wei huang,1
15417,chiara robba,1
15418,timothy d. struve,1
15419,shade moody,1
15420,elisa gentilotti,1
15421,nataliya zakharenko,1
15422,paola parronchi,1
15423,reutens,1
15424,oosterhof,1
15425,gabriel levy hara,1
15426,luigi ferrara,1
15427,alberto grassi,1
15428,xinjun liang,1
15429,ana lacombe,1
15430,siegfried martin muhlack,1
15431,lorraine purino,1
15432,magued beshay,1
15433,jin-ching lin,1
15434,francesco capasso,1
15435,sami brake,1
15436,eleonora de matteis,1
15437,stephanie sutherland,1
15438,vitaliy mykytiv,1
15439,elvira verduci,1
15440,sumodh kalathil,1
15441,robert stephen falcone,1
15442,gary yeoman,1
15443,margit mileder,1
15444,raymundo garcia reza,1
15445,rebecca coles,1
15446,anne bergeron,1
15447,francesco bellanti,1
15448,stefano faiola,1
15449,silvia palmerio,1
15450,nicholas gaspard,1
15451,francesco manfreda,1
15452,barry j reiner,1
15453,ricardo choza romero,1
15454,qian chu,1
15455,johan hugo schouwink,1
15456,isabella fanizza,1
15457,annalisa vittoria,1
15458,vento giovanni,1
15459,didier cowen,1
15460,r. molinari,1
15461,heinz griegenberg,1
15462,edwaldo e joviliano,1
15463,renato maserati,1
15464,maria dolores del pozo gil,1
15465,aysun bayazit,1
15466,iole tomassini barbarossa,1
15467,tom oresland,1
15468,pierre diemusch,1
15469,barbara casolla,1
15470,mikkael a sekeres,1
15471,xavier gonzález argenté,1
15472,jasmine marsh,1
15473,peter sogaard,1
15474,bristol myers-squibb,1
15475,david s miller,1
15476,christopher lominska,1
15477,jerzy r. kowalczyk,1
15478,vittorio calzolari,1
15479,amal el-beshlawy,1
15480,ellis g. levine,1
15481,john goudreau,1
15482,monika rudzinska,1
15483,anatol mickielewicz,1
15484,antonio ugarte,1
15485,sebastiano gili,1
15486,michael kneba,1
15487,antonio dager,1
15488,zaira tuccitto,1
15489,estelle wafo,1
15490,gautier chene,1
15491,caroline cornou,1
15492,hanna rabi,1
15493,elisabetta pagani,1
15494,alessandro blè,1
15495,giorgio giudici,1
15496,yao 姚桦 hui,1
15497,de carli stefano,1
15498,guido finazzi,1
15499,suebpong tanasanvimon,1
15500,shilpi gupta,1
15501,laurence venat-bouvet,1
15502,noémie laverdure,1
15503,struys,1
15504,chris metzger,1
15505,lim,1
15506,paul friedman,1
15507,hong keng liew,1
15508,mariana canaro hirnyk,1
15509,paolo giorgio sergio pasini,1
15510,antonios kattamis,1
15511,chryssoula tzialla,1
15512,jeffrey johnson,1
15513,claire westrope,1
15514,kaitlin batley,1
15515,karen ireland,1
15516,michelle owens,1
15517,amit oza,1
15518,peter mudry,1
15519,andrea steck,1
15520,manuela foucault,1
15521,ashima makol,1
15522,hiroaki niiro,1
15523,simone casiraghi,1
15524,kenneth morgan,1
15525,carmen martinez munoz,1
15526,paolo piero pl limone,1
15527,markus möhler,1
15528,denis smith,1
15529,weiping liao,1
15530,stefano bonora,1
15531,sara aquino,1
15532,chandrakasan,1
15533,felix guerrero ramos,1
15534,magen parker,1
15535,jane beith,1
15536,eduardo yañez ruiz,1
15537,carsten tschope,1
15538,georgios vartzelis,1
15539,domenico galante,1
15540,mika ishige,1
15541,uqba khan,1
15542,lillestol,1
15543,moema nene santos,1
15544,jaroslaw czyz,1
15545,michael baram,1
15546,erin wright,1
15547,emilie hervier,1
15548,elisavet papadimitraki,1
15549,buhai wang,1
15550,takashi fujii,1
15551,francesca amato,1
15552,marco sparaco,1
15553,francesco muscia,1
15554,simone tonello,1
15555,gayathri nagaraj,1
15556,vincent massard,1
15557,masahiko ikeda,1
15558,ahmet alacacioglu,1
15559,kevin flanigan,1
15560,javier pagonbarraga mora,1
15561,takeshi arita,1
15562,kate therkelsen,1
15563,srikanth seethala,1
15564,giovanni vettori,1
15565,irccs ic humanitas,1
15566,susumu watanabe,1
15567,lubomira fabryova,1
15568,daniel strbian,1
15569,manuela caroli,1
15570,rolf kaiser,1
15571,miriam brooks,1
15572,juan gonzález del castillo,1
15573,balamurugan ramanathan,1
15574,gunnar b. kristensen,1
15575,umberto signorini,1
15576,nicolas monier,1
15577,g madycki,1
15578,nishantha gurugama,1
15579,nino basaglia,1
15580,giuseppina rodorigo,1
